Document,Topic,Name,Representation,KeyBERT,MMR,Representative_Docs,Top_n_words,Probability,Representative_document
"Boluda ahí dice que yo debería pesar 43kg eso está para el orto. Yo sé que tengo sobrepeso y por eso estoy empezando a cuidarme más para bajar de peso, por mi altura mi peso ideal sería 64",3,3_kilos_bajar_20_10,"['kilos', 'bajar', '20', '10', '50', 'normal', '30', 'imc', '15', '40']","['kilos', 'dieta', 'grasa', 'comer', 'salud', 'quiero', 'cuerpo', 'mina', 'bastante', 'bajar']","['kilos', 'bajar', '50', 'normal', 'meses', 'cuerpo', 'puedo', 'amigo', 'querés', 'tiempo']","['qué es esa aplicación chicas tengo  pero más de 36 kilos', 'baja mucho porque es muy , después le va a costar mucho mas, es mas dificil que alguien que tenga 10 kilos de más baje 5 kilos que alguien de 200 kilos baje 20', 'me pesé el viernes y tengo 12 kilos más de lo que estaba antes de la pandemia y 20 kilos de lo que mejor estuve . ni hablar de que necesito bajar 50 kilos para dejar de ser ']",kilos - bajar - 20 - 10 - 50 - normal - 30 - imc - 15 - 40,1.0,False
"Jugador de +30 años, vendehumo, con tendencias a lesionarse, con sobrepeso, tribunero y cabaretero. Nació para jugar en boca",19,19_aca_ir_30_final,"['aca', 'ir', '30', 'final', 'favor', 'viendo', 'grande', 'poner', '40', 'ganas']","['malo', 'aunque', 'quieren', 'haga', 'quiere', 'boludo', 'viene', 'chicos', 'deja', 'momento']","['final', 'grande', '40', 'hagan', 'quieren', 'boludo', 'siquiera', 'veces', 'sabes', 'vergüenza']","['el hincha es muy boludo para que pidan a enzo pérez con 40 años y a quintero con  y que nos dejos 2 veces por guita. dicen que hay que soltar madrid pero piden a los mismos. al final que hizo más daño el 2018 fue a ambos equipos.', 'está llegando a la fase final de todo futbolista brasilero, la gordura post 30 pre-retirada', 'miro al   este tiene un dolor no sabes de fútbol los hijos juegan a la pelota con la panza de el que no venga aver un partido de méxico aca por qué triste se va a ir todo desinflado']",aca - ir - 30 - final - favor - viendo - grande - poner - 40 - ganas,0.1573403645658688,False
La tabla de mi pediatra cuando tenia 6 años y me decía obesa jaja,-1,-1_puta_grasa_mujer_asco,"['puta', 'grasa', 'mujer', 'asco', 'tenés', 'mira', 'foto', 'madre', 'comer', 'cara']","['puta', 'quiere', 'misma', 'asco', 'mujer', 'hizo', 'dia', 'anda', 'quieren', 'serio']","['puta', 'grasa', 'asco', 'madre', 'comer', 'salud', 'tampoco', 'dicen', 'pobre', 'dieta']","['después estos hijos de puta lloran  e intolerancia a la lactosa, pero mira el asco que es esto dios mio', 'socialmente el  en el hombre es como aceptable pero él se la mujer no. cámbiale la cara, ahora es una mujer… asi en la foto, que dicen los varones y otras mujeres !', 'jaja en este caso es todo mambo femenino. de cualquier modo si creo que en parte tiene razón, q viene de hace años exigirle (en cierta forma) a la mujer ser flaca. ni idea xq tenemos ese chip en la cabeza, pero ej mi padre acotaba cosas por el  a los 13.15 años.']",puta - grasa - mujer - asco - tenés - mira - foto - madre - comer - cara,0.01808934479786828,False
chupame un huevo como voy a pesar 48 kg midiendo casi 1.70 quién hizo esta lista yolanda hadid,3,3_kilos_bajar_20_10,"['kilos', 'bajar', '20', '10', '50', 'normal', '30', 'imc', '15', '40']","['kilos', 'dieta', 'grasa', 'comer', 'salud', 'quiero', 'cuerpo', 'mina', 'bastante', 'bajar']","['kilos', 'bajar', '50', 'normal', 'meses', 'cuerpo', 'puedo', 'amigo', 'querés', 'tiempo']","['qué es esa aplicación chicas tengo  pero más de 36 kilos', 'baja mucho porque es muy , después le va a costar mucho mas, es mas dificil que alguien que tenga 10 kilos de más baje 5 kilos que alguien de 200 kilos baje 20', 'me pesé el viernes y tengo 12 kilos más de lo que estaba antes de la pandemia y 20 kilos de lo que mejor estuve . ni hablar de que necesito bajar 50 kilos para dejar de ser ']",kilos - bajar - 20 - 10 - 50 - normal - 30 - imc - 15 - 40,1.0,False
"Eso me da curiosidad en la gente obesa. Miro kilos mortales a veces y veo con q placer tocan la comida todo el tiempo. La acomodan en el plato, la mueven, etc todo con los dedos.",2,2_comida_comer_come_mala,"['comida', 'comer', 'come', 'mala', 'podes', 'mucha', 'buena', 'comiendo', 'sano', 'grasa']","['comida', 'comer', 'comiendo', 'gordito', 'gusta', 'además', 'puto', 'mucha', 'montón', 'quiere']","['comida', 'comer', 'buena', 'grasa', 'casa', 'chicos', 'pensar', 'dieta', 'gordito', '100']","['justo la  atragantandose con comida!', 'en otra vida fui , si estamos peleados y me hablas de comida, me puede, porque soy así! tan interesada por la comida', 'retiene comida? no la entrega a comedores fantasmas, para que después la vendan en ferias barriales, entendiste,  pute? o preferís un dibujito?']",comida - comer - come - mala - podes - mucha - buena - comiendo - sano - grasa,0.19143575433390422,False
"Segun esta lista de yolanda hadid, tengo sobrepeso",-1,-1_puta_grasa_mujer_asco,"['puta', 'grasa', 'mujer', 'asco', 'tenés', 'mira', 'foto', 'madre', 'comer', 'cara']","['puta', 'quiere', 'misma', 'asco', 'mujer', 'hizo', 'dia', 'anda', 'quieren', 'serio']","['puta', 'grasa', 'asco', 'madre', 'comer', 'salud', 'tampoco', 'dicen', 'pobre', 'dieta']","['después estos hijos de puta lloran  e intolerancia a la lactosa, pero mira el asco que es esto dios mio', 'socialmente el  en el hombre es como aceptable pero él se la mujer no. cámbiale la cara, ahora es una mujer… asi en la foto, que dicen los varones y otras mujeres !', 'jaja en este caso es todo mambo femenino. de cualquier modo si creo que en parte tiene razón, q viene de hace años exigirle (en cierta forma) a la mujer ser flaca. ni idea xq tenemos ese chip en la cabeza, pero ej mi padre acotaba cosas por el  a los 13.15 años.']",puta - grasa - mujer - asco - tenés - mira - foto - madre - comer - cara,0.14467502481473749,False
No bueno lo OBESA que me dijo que estoy este cuadro.,6,6_amigo_imc_10_veo,"['amigo', 'imc', '10', 'veo', 'puedo', 'xq', 'momento', 'podes', 'orto', 'mañana']","['amiga', 'amigo', 'quiere', 'dia', 'quiero', 'dije', 'anda', 'cara', 'digo', 'quién']","['amigo', '10', 'podes', 'mañana', 'fotos', 'hablando', 'salir', 'quiero', 'sabe', 'hagan']","['amigo lo   que estoy', 'y la tiene amigo, esta diagnosticado con ', 'ysi amigo es  como un tumor dah']",amigo - imc - 10 - veo - puedo - xq - momento - podes - orto - mañana,1.0,False
"ay dios,es azucar buena, es necesaria, es sana, tiene fibra, minerales.NADIE MUERE DE OBESIDAD X COMER BANANA! tome, :",-1,-1_puta_grasa_mujer_asco,"['puta', 'grasa', 'mujer', 'asco', 'tenés', 'mira', 'foto', 'madre', 'comer', 'cara']","['puta', 'quiere', 'misma', 'asco', 'mujer', 'hizo', 'dia', 'anda', 'quieren', 'serio']","['puta', 'grasa', 'asco', 'madre', 'comer', 'salud', 'tampoco', 'dicen', 'pobre', 'dieta']","['después estos hijos de puta lloran  e intolerancia a la lactosa, pero mira el asco que es esto dios mio', 'socialmente el  en el hombre es como aceptable pero él se la mujer no. cámbiale la cara, ahora es una mujer… asi en la foto, que dicen los varones y otras mujeres !', 'jaja en este caso es todo mambo femenino. de cualquier modo si creo que en parte tiene razón, q viene de hace años exigirle (en cierta forma) a la mujer ser flaca. ni idea xq tenemos ese chip en la cabeza, pero ej mi padre acotaba cosas por el  a los 13.15 años.']",puta - grasa - mujer - asco - tenés - mira - foto - madre - comer - cara,0.7215387506435647,False
y claro con razón el médico me dice obeso  como q tengo q pesar 52 kg,3,3_kilos_bajar_20_10,"['kilos', 'bajar', '20', '10', '50', 'normal', '30', 'imc', '15', '40']","['kilos', 'dieta', 'grasa', 'comer', 'salud', 'quiero', 'cuerpo', 'mina', 'bastante', 'bajar']","['kilos', 'bajar', '50', 'normal', 'meses', 'cuerpo', 'puedo', 'amigo', 'querés', 'tiempo']","['qué es esa aplicación chicas tengo  pero más de 36 kilos', 'baja mucho porque es muy , después le va a costar mucho mas, es mas dificil que alguien que tenga 10 kilos de más baje 5 kilos que alguien de 200 kilos baje 20', 'me pesé el viernes y tengo 12 kilos más de lo que estaba antes de la pandemia y 20 kilos de lo que mejor estuve . ni hablar de que necesito bajar 50 kilos para dejar de ser ']",kilos - bajar - 20 - 10 - 50 - normal - 30 - imc - 15 - 40,1.0,False
"estamos calificandola por su obesidad, una persona que toma tan malas deciciones a la hora de alimentarse claramente no esta capacitada para tomar buenas deciciones sobre el resto de los argentinos. a esta bolsa de trigliceridos le pagamos el sueldo.",5,5_argentina_país_final_mayoría,"['argentina', 'país', 'final', 'mayoría', 'comida', 'mayor', 'come', 'mucha', 'milei', 'cualquier']","['argentina', 'ganas', 'país', 'siendo', 'mala', 'diciendo', 'misma', 'muchas', 'quieren', 'mórbido']","['argentina', 'país', 'mayoría', 'mayor', 'comer', 'mujer', 'cabeza', 'veo', 'video', '50']","['""la economía argentina es , drogadicta, alcohólica, tiene cáncer y sida"", dijo galperín a the economist', 'marcos galperín hablo sobre la economía argentina el fundador de mercado libre la comparó con un deportista y dijo que ""está , es adicto a las drogas, tiene cáncer, sida, y es alcohólico"".', 'esta mal, argentina es blanca pero con nariz, mexico es un mono, chile es un pasillo y eu es , el meme esta horrible.']",argentina - país - final - mayoría - comida - mayor - come - mucha - milei - cualquier,0.33225847985316886,False
"Encima dijo 'tiene que tener mucha plata'. Y el hombre hace eso si se puede embarazar la mina o si te quiere mucho, pero esa no puede dar hijos y si los da, son todos obesos sus hijos, nacen gordos y con algún problema diabetico, de qué sirve invertir en una mujer así",7,7_milei_ustedes_hablando_tiempo,"['milei', 'ustedes', 'hablando', 'tiempo', 'poder', 'parte', 'ler', 'país', 'sabe', 'pobre']","['puto', 'deja', 'haga', 'quieren', 'hizo', 'mucha', 'anda', 'quiere', 'punto', 'digo']","['ustedes', 'hablando', 'tiempo', 'país', 'pobre', 'cabeza', 'entender', 'meses', 'quieren', 'favor']","['todas las personas que votaron a milei cubren estos requisitos: varón  pelo largo olor a trapo húmedo', 'ajajajaja recién me acordé de las swifties que salieron a decir que no había que votar a milei, ojalá estén bajando de peso ahora las  mórbidas', 'no nabo, era un flaco hasta 2015. el que lo puso  fue macri con caputo, el mismo que ahora está con milei. y todos los gobiernos k hicieron crecer el salario en los primeros 5 meses. adiviná quién es que lo hizo caer más? adivinaste: milei. siguiente estupidez.']",milei - ustedes - hablando - tiempo - poder - parte - ler - país - sabe - pobre,0.23332534799455423,False
"Obvio, pero esa mina no labura, hace videos siendo gorda y vendiendo con su imagen de gorda obesa.",-1,-1_puta_grasa_mujer_asco,"['puta', 'grasa', 'mujer', 'asco', 'tenés', 'mira', 'foto', 'madre', 'comer', 'cara']","['puta', 'quiere', 'misma', 'asco', 'mujer', 'hizo', 'dia', 'anda', 'quieren', 'serio']","['puta', 'grasa', 'asco', 'madre', 'comer', 'salud', 'tampoco', 'dicen', 'pobre', 'dieta']","['después estos hijos de puta lloran  e intolerancia a la lactosa, pero mira el asco que es esto dios mio', 'socialmente el  en el hombre es como aceptable pero él se la mujer no. cámbiale la cara, ahora es una mujer… asi en la foto, que dicen los varones y otras mujeres !', 'jaja en este caso es todo mambo femenino. de cualquier modo si creo que en parte tiene razón, q viene de hace años exigirle (en cierta forma) a la mujer ser flaca. ni idea xq tenemos ese chip en la cabeza, pero ej mi padre acotaba cosas por el  a los 13.15 años.']",puta - grasa - mujer - asco - tenés - mira - foto - madre - comer - cara,0.2318642545242663,False
"Si ella quiere estar así de obesa, perfecto pero con que necesidad de alimentar así a la nena? FORRA.",16,16_diciendo_chica_mujer_puta,"['diciendo', 'chica', 'mujer', 'puta', 'quiere', 'cara', 'xq', 'sabe', 'única', 'mira']","['mujer', 'puta', 'misma', 'chica', 'quiere', 'dia', 'gusta', 'tanta', 'hablando', 'malo']","['chica', 'mujer', 'puta', 'foto', 'dicen', 'sociedad', 'panza', 'casa', 'atrás', 'querer']","['vizcachera dice, quisiera q furia agarre a cata y le diga q tiene 4k d celulitis, q es  x comer dulce d leche, a paloma q es una calienta pi q muestra las tetas x cámara y se lo quiere garchar a mauro, pero en la cara!ya q ella es tan frontal!ustedes bancan cualqier cosa ya!', 'la desinformación que daba está mujer diciendo que la  era sana y ahora esto', 'mamita. todos los conceptos cruzados tiene esta chica. y quiere hacer de su problema una bandera. yo lucho a diario con la  y no ando diciendo esas pelotudeces. me encantaría ayudarla']",diciendo - chica - mujer - puta - quiere - cara - xq - sabe - única - mira,1.0,False
"Claro que sí, por la gordura pete!",26,26_ves_ah_hizo_tenés,"['ves', 'ah', 'hizo', 'tenés', 'grasa', 'deja', 'podés', 'crer', 'hdp', 'foto']","['gordito', 'grasa', 'anda', 'comer', 'malo', 'haces', 'comiendo', 'ves', 'mucha', 'ustedes']","['hizo', 'hdp', 'foto', 'gordito', 'panza', 'asco', 'hablar', 'veces', 'creo', 'quién']","['me parece a mí o ves gordura sin kilos?', 'y bueno gordura por ahí sos vos el problema que ves peronismo en todos lados un saludo', 'petisa si. ? donde le ves gordura? granos? y si los tiene. recordá q tiene 22 años. a diferencia tuya que debes tener como 75. y no por eso te dicen vieja fea de cuello arrugado. ves? guardate tus comentarios.']",ves - ah - hizo - tenés - grasa - deja - podés - crer - hdp - foto,1.0,False
"Justamente, ahora al ""obeso"" le cortaron el morfi y lo obligan a caminar para bajar de peso.",3,3_kilos_bajar_20_10,"['kilos', 'bajar', '20', '10', '50', 'normal', '30', 'imc', '15', '40']","['kilos', 'dieta', 'grasa', 'comer', 'salud', 'quiero', 'cuerpo', 'mina', 'bastante', 'bajar']","['kilos', 'bajar', '50', 'normal', 'meses', 'cuerpo', 'puedo', 'amigo', 'querés', 'tiempo']","['qué es esa aplicación chicas tengo  pero más de 36 kilos', 'baja mucho porque es muy , después le va a costar mucho mas, es mas dificil que alguien que tenga 10 kilos de más baje 5 kilos que alguien de 200 kilos baje 20', 'me pesé el viernes y tengo 12 kilos más de lo que estaba antes de la pandemia y 20 kilos de lo que mejor estuve . ni hablar de que necesito bajar 50 kilos para dejar de ser ']",kilos - bajar - 20 - 10 - 50 - normal - 30 - imc - 15 - 40,0.08465645612366371,False
Y yo me mato haciéndole croquetitas de cualquier verdura y mufins de cualquier fruta… Después se preguntan xq hay tanta obesidad y xq los chicos tienen los dientes podridos…,2,2_comida_comer_come_mala,"['comida', 'comer', 'come', 'mala', 'podes', 'mucha', 'buena', 'comiendo', 'sano', 'grasa']","['comida', 'comer', 'comiendo', 'gordito', 'gusta', 'además', 'puto', 'mucha', 'montón', 'quiere']","['comida', 'comer', 'buena', 'grasa', 'casa', 'chicos', 'pensar', 'dieta', 'gordito', '100']","['justo la  atragantandose con comida!', 'en otra vida fui , si estamos peleados y me hablas de comida, me puede, porque soy así! tan interesada por la comida', 'retiene comida? no la entrega a comedores fantasmas, para que después la vendan en ferias barriales, entendiste,  pute? o preferís un dibujito?']",comida - comer - come - mala - podes - mucha - buena - comiendo - sano - grasa,0.18219032533097113,False
ojala la saquen a la obesa esa,-1,-1_puta_grasa_mujer_asco,"['puta', 'grasa', 'mujer', 'asco', 'tenés', 'mira', 'foto', 'madre', 'comer', 'cara']","['puta', 'quiere', 'misma', 'asco', 'mujer', 'hizo', 'dia', 'anda', 'quieren', 'serio']","['puta', 'grasa', 'asco', 'madre', 'comer', 'salud', 'tampoco', 'dicen', 'pobre', 'dieta']","['después estos hijos de puta lloran  e intolerancia a la lactosa, pero mira el asco que es esto dios mio', 'socialmente el  en el hombre es como aceptable pero él se la mujer no. cámbiale la cara, ahora es una mujer… asi en la foto, que dicen los varones y otras mujeres !', 'jaja en este caso es todo mambo femenino. de cualquier modo si creo que en parte tiene razón, q viene de hace años exigirle (en cierta forma) a la mujer ser flaca. ni idea xq tenemos ese chip en la cabeza, pero ej mi padre acotaba cosas por el  a los 13.15 años.']",puta - grasa - mujer - asco - tenés - mira - foto - madre - comer - cara,0.1943229744624242,False
"""la vecina obesa""",15,15_foto_plata_40_mina,"['foto', 'plata', '40', 'mina', 'única', 'final', 'gusta', 'idea', 'milei', 'medio']","['foto', 'viendo', 'gusta', 'ves', 'mucha', 'baja', 'misma', 'veo', 'puto', 'fotos']","['40', 'final', 'gusta', 'idea', 'realidad', 'primera', 'viendo', 'quién', 'resto', 'fotos']","['la mina puede ser la más linda del mundo, en el momento que likea una foto de alejo isak pasa a ser la  esa que hace sketches', 'creo que la foto de la foca, está mal. es mucho más ', 'se cambiaba la foto y se ponía una tapándose el cachete la ']",foto - plata - 40 - mina - única - final - gusta - idea - milei - medio,1.0,False
"Me peleaba con mi otro yo entre panadería y heladería. Luego de pensar un rato decidí q de helados me suelo aburrir y de las cosas q tiene una panadería (Facturas, tortas, biscochos de grasa, palitos y otros) no me aburro, están caras y despiertan al obeso reprimido q tengo.",-1,-1_puta_grasa_mujer_asco,"['puta', 'grasa', 'mujer', 'asco', 'tenés', 'mira', 'foto', 'madre', 'comer', 'cara']","['puta', 'quiere', 'misma', 'asco', 'mujer', 'hizo', 'dia', 'anda', 'quieren', 'serio']","['puta', 'grasa', 'asco', 'madre', 'comer', 'salud', 'tampoco', 'dicen', 'pobre', 'dieta']","['después estos hijos de puta lloran  e intolerancia a la lactosa, pero mira el asco que es esto dios mio', 'socialmente el  en el hombre es como aceptable pero él se la mujer no. cámbiale la cara, ahora es una mujer… asi en la foto, que dicen los varones y otras mujeres !', 'jaja en este caso es todo mambo femenino. de cualquier modo si creo que en parte tiene razón, q viene de hace años exigirle (en cierta forma) a la mujer ser flaca. ni idea xq tenemos ese chip en la cabeza, pero ej mi padre acotaba cosas por el  a los 13.15 años.']",puta - grasa - mujer - asco - tenés - mira - foto - madre - comer - cara,0.25980135424965656,False
"lit, ojala se vuelvan obesas en serio ya q tanto lo quieren",-1,-1_puta_grasa_mujer_asco,"['puta', 'grasa', 'mujer', 'asco', 'tenés', 'mira', 'foto', 'madre', 'comer', 'cara']","['puta', 'quiere', 'misma', 'asco', 'mujer', 'hizo', 'dia', 'anda', 'quieren', 'serio']","['puta', 'grasa', 'asco', 'madre', 'comer', 'salud', 'tampoco', 'dicen', 'pobre', 'dieta']","['después estos hijos de puta lloran  e intolerancia a la lactosa, pero mira el asco que es esto dios mio', 'socialmente el  en el hombre es como aceptable pero él se la mujer no. cámbiale la cara, ahora es una mujer… asi en la foto, que dicen los varones y otras mujeres !', 'jaja en este caso es todo mambo femenino. de cualquier modo si creo que en parte tiene razón, q viene de hace años exigirle (en cierta forma) a la mujer ser flaca. ni idea xq tenemos ese chip en la cabeza, pero ej mi padre acotaba cosas por el  a los 13.15 años.']",puta - grasa - mujer - asco - tenés - mira - foto - madre - comer - cara,0.532585951697401,False
